Locality,Municipality,County,Latitude,Longitude,Radie
Abbekås,Skurup,Skåne,55.399274,13.600275,15
Abborrberget,Strängnäs,Värmland,59.712128,14.202896,15
Alberga,Eskilstuna,Örebro,59.456204,14.880120,15
Alby,Ånge,Gotland,57.819483,18.956528,15
Alfta,Ovanåker,Gävleborg,61.345719,16.000104,15
Algutsrum,Mörbylånga,Kalmar,56.679426,16.529795,15
Alingsås,Alingsås,Västra Götaland,57.980745,12.458170,15
Allerum,Helsingborg,Skåne,56.128579,12.668427,15
Almunge,Uppsala,Uppsala,59.877306,18.046123,15
Alsike,Knivsta,Uppsala,59.756626,17.763587,15
Alstad,Trelleborg,Skåne,55.454374,13.209501,15
Alsterbro,Nybro,Kalmar,56.940257,15.913943,15
Alster,Karlstad,Värmland,59.398117,13.608431,15
Alstermo,Uppvidinge,Kronoberg,56.974271,15.652680,15
Alunda,Östhammar,Uppsala,60.066453,18.078071,15
Alvesta,Alvesta,Kronoberg,56.863826,14.447930,15
Alvhem,Ale,Uppsala,59.749985,17.761835,15
Alvik,Stockholm,Stockholm,59.333400,17.980300,15
Alvik,Luleå,Norrbotten,65.566667,21.783333,15
Ambjörnarp,Tranemo,Västra Götaland,57.421314,13.294558,15
Ammenäs,Uddevalla,Västra Götaland,58.311395,11.818407,15
Anderslöv,Trelleborg,Skåne,55.438877,13.318682,15
Anderstorp,Gislaved,Jönköping,57.282982,13.636821,15
Aneby,Aneby,Jönköping,57.874561,14.754430,15
Angelstad,Ljungby,Kronoberg,56.827591,13.763888,15
Angered,Göteborg,Västra Götaland,57.813166,12.118917,15
Ankarsrum,Västervik,Kalmar,57.700892,16.334361,15
Ankarsvik,Sundsvall,Västernorrland,62.373596,17.40904,15
Anneberg,Nässjö,Halland,57.539118,12.110653,15
Annelöv,Landskrona,Skåne,55.836544,13.019732,15
Antnäs,Luleå,Norrbotten,65.552552,21.842872,15
Aplared,Borås,Västra Götaland,57.650125,13.067945,15
Arboga,Arboga,Västmanland,59.394187,15.839664,15
Arbrå,Bollnäs,Gävleborg,61.473088,16.374964,15
Ardala,Skara,Västra Götaland,58.362007,13.338056,15
Arentorp,Vara,Västra Götaland,58.241915,12.873894,15
Arild,Höganäs,Skåne,56.273819,12.572109,15
Arjeplog,Arjeplog,Norrbotten,66.380715,17.106845,15
Arkelstorp,Kristianstad,Skåne,56.173923,14.289774,15
Arninge,Täby,Stockholm,59.464709,18.129501,15
Arnö,Nyköping,Södermanland,56.180854,15.586153,15
Arrie,Vellinge,Skåne,55.515525,13.085134,15
Arvidsjaur,Arvidsjaur,Norrbotten,65.656995,19.345614,15
Arvidsvik,Kungälv,Västra Götaland,57.888471,11.591697,15
Arvika,Arvika,Värmland,59.654355,12.591622,15
Askeby,Linköping,Östergötland,58.406696,15.871683,15
Askersby,Örebro,Örebro,59.148960,15.474376,15
Askersund,Askersund,Örebro,58.835500,14.925755,15
Asmundtorp,Landskrona,Skåne,55.885595,12.947194,15
Aspeboda,Falu,Dalarna,60.560042,15.491874,15
Asperö,Göteborg,Västra Götaland,57.646285,11.800211,15
Aspås,Krokom,Jämtland,63.365034,14.484700,15
Avan,Luleå,Norrbotten,66.109133,22.300143,15
Avesta,Avesta,Dalarna,60.146955,16.182699,15
Axvall,Skara,Västra Götaland,58.389166,13.574769,15
Backaryd,Ronneby,Blekinge,56.347209,15.154482,15
Backa,Rättvik,Gävleborg,60.660842,17.076742,15
Backe,Strömsund,Västernorrland,62.273599,17.143122,15
Baggetorp,Vingåker,Örebro,58.905277,14.608042,15
Baldersnäs,Värmdö,Västra Götaland,58.962705,12.277522,15
Ballingslöv,Hässleholm,Skåne,56.214274,13.846578,15
Balsby,Kristianstad,Skåne,56.075362,14.211030,15
Bammarboda,Österåker,Stockholm,59.506469,18.468463,15
Bankekind,Linköping,Östergötland,58.361450,15.853222,15
Bankeryd,Jönköping,Jönköping,57.863142,14.127853,15
Bara,Svedala,Gotland,57.588491,18.610915,15
Barkarö,Västerås,Västmanland,59.555793,16.504193,15
Barsebäck,Kävlinge,Skåne,55.771661,12.956365,15
Barsebäckshamn,Kävlinge,Skåne,55.755836,12.905884,15
Baskemölla,Simrishamn,Skåne,55.591541,14.315296,15
Bastuträsk,Norsjö,Västerbotten,64.021139,19.347257,15
